,subnetwork,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,2,30,412.0212604803098,5730.345340316889,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,31,411.74929513535153,7247.631837338096,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,32,623.9817245423529,5069.892470857762,"571.4816392444233, 629.1426969407302",2.0,"0.0, 6133.570719441503",0.0
0,2,33,412.1686064122708,3508.081677420066,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,34,412.08581761631683,6991.169246743276,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,35,412.1590839615807,3582.0126572728527,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,36,410.3086380884007,4851.853692148473,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,37,411.51581796126766,7250.471341751356,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,38,409.7325521043405,5831.84654988133,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,39,408.635871078322,7104.002535482411,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,40,529.3673630084362,5453.3655774182525,"515.8205815481163, 571.4816392444233",1.0,"0.0, 6133.570719441503",0.0
0,2,41,412.2760532237611,6105.194030112995,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,42,413.71702423779175,6881.32750193269,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,43,416.51578831807836,5928.352357313138,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,44,409.6807529126251,7548.333574480592,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,45,409.328280350683,7762.094898726177,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,46,412.3636619975459,7132.378513062936,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,47,413.243553513232,8895.450024977159,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,48,414.3089234677981,7177.92184206041,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,49,412.42857978454845,5206.655012038321,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,50,407.6594385538797,7274.489281453923,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,51,410.67108164216324,7241.332981332843,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,52,412.43748391894854,4880.76242429586,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,53,412.55933424607133,4568.866406256356,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,54,409.21084950610117,8827.686150178411,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,55,411.6747205197952,7701.3741000502005,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,56,412.375926165868,7529.847191914693,"404.49846615550246, 460.15952385180935",0.0,"6328.8499733604085, 9190.155154792054",1.0
0,2,57,410.8851857758735,3720.983280659616,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,58,412.7736143318518,5729.628984152791,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,2,59,409.9669176510951,4421.695002157686,"404.49846615550246, 460.15952385180935",0.0,"0.0, 6133.570719441503",0.0
0,3,0,57.84642978033204,1472.9016763382556,"48.02174142061072, 58.10572079441191",0.0,,
0,3,1,65.54893339164656,4044.3785111776842,"58.10572079441191, 68.1897001682131",1.0,,
0,3,2,57.998989011262324,4209.155148438037,"48.02174142061072, 58.10572079441191",0.0,,
0,3,3,58.01948685279849,3309.8083238902796,"48.02174142061072, 58.10572079441191",0.0,,
0,3,4,57.89763085671871,1644.1353758428927,"48.02174142061072, 58.10572079441191",0.0,,
0,3,5,57.80024684591327,3632.278344194254,"48.02174142061072, 58.10572079441191",0.0,,
0,3,6,77.31308044365231,3714.1033973790313,"68.1897001682131, 78.27367954201429",2.0,,
0,3,7,64.88353396519464,5328.129270477616,"58.10572079441191, 68.1897001682131",1.0,,
0,3,8,58.507499976007644,1999.4033558265808,"58.10572079441191, 68.1897001682131",1.0,,
0,3,9,63.23416827866049,2343.3725861879193,"58.10572079441191, 68.1897001682131",1.0,,
0,3,10,57.75791307369795,1483.4134325212967,"48.02174142061072, 58.10572079441191",0.0,,
0,3,11,58.93030097639727,3231.3455851090876,"58.10572079441191, 68.1897001682131",1.0,,
0,3,12,79.90558254542618,3942.5138458102583,"78.27367954201429, 90.35765891581548",3.0,,
0,3,13,57.51836583596145,2458.0168133171474,"48.02174142061072, 58.10572079441191",0.0,,
0,3,14,58.24096044643428,2750.2817569979898,"58.10572079441191, 68.1897001682131",1.0,,
0,3,15,64.50444257635414,3385.1509579139843,"58.10572079441191, 68.1897001682131",1.0,,
0,3,16,57.65160073526671,2878.849284956469,"48.02174142061072, 58.10572079441191",0.0,,
0,3,17,58.055838183198624,2156.9652662829644,"48.02174142061072, 58.10572079441191",0.0,,
0,3,18,65.34344947652039,3462.971370430015,"58.10572079441191, 68.1897001682131",1.0,,
0,3,19,57.8734104176089,1834.066374396202,"48.02174142061072, 58.10572079441191",0.0,,
0,3,20,57.83101810967446,2811.0456333828006,"48.02174142061072, 58.10572079441191",0.0,,
0,3,21,65.04587225707857,2184.0317741021236,"58.10572079441191, 68.1897001682131",1.0,,
0,3,22,57.626479646796426,3547.785158953688,"48.02174142061072, 58.10572079441191",0.0,,
0,3,23,57.66483613035711,3228.006989908246,"48.02174142061072, 58.10572079441191",0.0,,
0,3,24,65.24849549073178,1789.4299219174582,"58.10572079441191, 68.1897001682131",1.0,,
0,3,25,58.771490710713415,2927.792334206866,"58.10572079441191, 68.1897001682131",1.0,,
0,3,26,57.54630510165945,3009.098388515903,"48.02174142061072, 58.10572079441191",0.0,,
0,3,27,65.07397501688395,2915.8239787464445,"58.10572079441191, 68.1897001682131",1.0,,
0,3,28,64.91006222969284,2510.327091098912,"58.10572079441191, 68.1897001682131",1.0,,
0,3,29,64.9849139118212,3260.3629414900192,"58.10572079441191, 68.1897001682131",1.0,,
0,3,30,65.38961579443851,3606.4445030205884,"58.10572079441191, 68.1897001682131",1.0,,
0,3,31,64.99457596539817,3130.090077285571,"58.10572079441191, 68.1897001682131",1.0,,
0,3,32,58.334834986615746,3401.808834508626,"58.10572079441191, 68.1897001682131",1.0,,
0,3,33,65.32258314879803,3194.481505956325,"58.10572079441191, 68.1897001682131",1.0,,
0,3,34,57.57962278963387,3199.9483170966473,"48.02174142061072, 58.10572079441191",0.0,,
0,3,35,57.995930573572096,1930.766807692513,"48.02174142061072, 58.10572079441191",0.0,,
0,3,36,57.72533428499035,4053.2705009656434,"48.02174142061072, 58.10572079441191",0.0,,
0,3,37,64.99272025084946,3668.844302896312,"58.10572079441191, 68.1897001682131",1.0,,
0,3,38,65.05665088784264,2696.745475630778,"58.10572079441191, 68.1897001682131",1.0,,
0,3,39,64.9180903052427,1942.4007203796375,"58.10572079441191, 68.1897001682131",1.0,,
0,3,40,64.47428596453848,3405.143552989145,"58.10572079441191, 68.1897001682131",1.0,,
0,3,41,57.98859456737076,3300.1618431924985,"48.02174142061072, 58.10572079441191",0.0,,
0,3,42,57.91826442443089,1320.984322950699,"48.02174142061072, 58.10572079441191",0.0,,
0,3,43,56.47381779100001,3120.8252421154443,"48.02174142061072, 58.10572079441191",0.0,,
