,subnetwork,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,1,127,101.16703163700214,2076.2967048591945,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,128,103.26962960803198,4604.318511557736,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,129,102.28411515817139,2743.5175311850417,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,130,100.79612239781295,3303.579695992605,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,131,105.06665181719148,3325.8192207382344,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,132,103.42953749832735,2476.5576737416136,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,133,101.92861260185903,2145.171836014258,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,134,99.89709665389084,4806.682576593922,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,135,103.45500026248024,4177.078854592666,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,136,100.67069025329745,3488.0562208716856,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,137,99.75847130599064,4336.344604029991,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,138,103.95202698125031,3787.8442216691724,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,139,100.80079838529593,3733.644276341715,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,140,101.72075296103412,1988.6786131875133,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,141,101.21949327418181,3421.8236141820485,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,142,100.70922492477727,4416.5033187172785,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,143,101.16185358084802,3417.1889166050883,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,144,102.03245511075306,4619.914471936637,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,145,100.31213557864668,4491.0396658877125,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,146,101.0194720609289,2274.743471109078,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,147,101.74465797011305,5662.9965486337,"77.32703659730274, 103.10271546307031",3.0,"5238.791702007985, 6985.055602677313",3.0
0,1,148,105.07832926020527,3230.5226087598644,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,149,101.82515772689297,1915.950554886594,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,150,100.25317932627824,2539.088394279685,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,151,100.48718538410927,3446.1708220892688,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,152,104.67223206796352,3494.9451215106756,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,153,102.81948665658868,3846.5053177985114,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,154,100.5699633814693,2769.8630503205472,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,155,102.0136078995329,4243.853437444679,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,156,101.19643241433344,4885.910002237411,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,157,103.32560962031062,4278.005182163712,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,158,100.49199018434402,5063.054388295618,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,159,104.94206300095466,3698.0251718128616,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,160,100.82532697319931,4260.801480493943,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,161,105.58342926272068,4395.109114886981,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,162,103.6296774821124,3269.947545154601,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,163,103.62909255285619,2713.801473392576,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,164,100.52722375831814,4668.013754003572,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,165,102.1319980935856,2284.477571120055,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,166,100.87129850943403,2357.4809640099297,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,167,100.99044059017596,4274.999577129113,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,168,100.49100015938401,4232.0997279851035,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,169,104.19180808219036,3627.536062683299,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,170,101.42519891588678,4983.25597048732,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,171,100.04770608603883,3669.9167969096306,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,172,102.26881172914553,2174.534759889093,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,173,103.40243245126226,2947.5029057398083,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,174,102.03114781679135,6509.205110881465,"77.32703659730274, 103.10271546307031",3.0,"5238.791702007985, 6985.055602677313",3.0
0,1,175,103.29211938043693,4031.9361145206976,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,176,100.0347410336919,2992.07449409413,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,177,101.65045149240382,2497.5820555486303,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,178,100.36813898704519,4102.607612161554,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,179,101.13034258067172,3715.563793937819,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,180,102.03245511075306,3717.5263331910637,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,181,100.26884372509711,4050.8892617575184,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,182,104.99977580695072,4095.4869458463136,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,183,104.01164574932422,4226.271162616688,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,184,102.07259714675334,3023.0413285504023,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,185,101.87348453659382,4653.170955055935,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,186,105.11459293891174,4637.631192782606,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,187,104.20038829076408,3624.380956105939,"103.10271546307031, 128.87839432883789",1.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,188,102.35641712710253,2797.363773694402,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,189,100.30972048423412,3483.600670949543,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,190,100.58101479794772,2331.958074411618,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,191,104.2063448485195,3288.374052785192,"103.10271546307031, 128.87839432883789",1.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,192,102.82082072690888,3708.132680209767,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,193,101.44379291923235,2888.167490599727,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,194,101.3405444935731,4668.824959840664,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,195,103.06836645236842,3611.3403032824613,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,196,101.03987853951747,2069.794726798938,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,197,100.72583699904128,3432.5931859896073,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
0,1,198,100.72503713501187,4389.739402345267,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,199,99.76913252412004,5082.474418796467,"77.32703659730274, 103.10271546307031",3.0,"3492.5278013386564, 5238.791702007985",2.0
0,1,200,102.54202067465388,6505.222182410627,"77.32703659730274, 103.10271546307031",3.0,"5238.791702007985, 6985.055602677313",3.0
0,1,201,100.96351776436961,2809.0832338377254,"77.32703659730274, 103.10271546307031",3.0,"1746.2639006693282, 3492.5278013386564",1.0
