,sample_run,TravelTime,TotalCost,TravelTimeDisc,TravelTimeDisc11,TotalCostDisc,TotalCostDisc11
0,208,900.1340722031081,17907.633189605775,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,209,909.0030909379338,21167.18347173081,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,210,901.3575744254655,16993.108783376636,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,211,898.8147827527077,20502.35365087412,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,212,895.6209645784811,17721.448636944224,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,213,895.7678818869642,21646.255941955387,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,214,892.519329758984,18481.45624566343,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,215,892.0963543119035,16765.955997318182,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,216,899.8031033483818,19302.52226637573,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,217,885.0732910980267,16002.715615831938,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,218,895.7676182647218,22428.386442717117,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,219,895.2699165182185,21044.741000591162,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,220,881.5185174498515,19521.67183827112,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,221,912.4739155372307,22674.036201141567,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,222,901.2696970698436,22993.067352519713,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,223,899.005922123931,17369.064720593204,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,224,899.3484962505744,18197.793231599553,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,225,888.1157851107735,19982.100363746344,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,226,893.7053640421334,20398.57600531937,"845.0546351374641, 1015.0655621649569",2,"18966.317297552, 25288.423063402664",1
0,227,909.011464666828,18776.362656268182,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
0,228,891.7002350069928,17157.79107396672,"845.0546351374641, 1015.0655621649569",2,"12644.211531701332, 18966.317297552",0
